Category: All categories

Week,App Developer: (India)
2020-09-06,85
2020-09-13,88
2020-09-20,74
2020-09-27,75
2020-10-04,73
2020-10-11,63
2020-10-18,59
2020-10-25,72
2020-11-01,56
2020-11-08,47
2020-11-15,60
2020-11-22,59
2020-11-29,55
2020-12-06,57
2020-12-13,55
2020-12-20,51
2020-12-27,52
2021-01-03,53
2021-01-10,61
2021-01-17,57
2021-01-24,65
2021-01-31,58
2021-02-07,54
2021-02-14,53
2021-02-21,50
2021-02-28,59
2021-03-07,50
2021-03-14,57
2021-03-21,55
2021-03-28,51
2021-04-04,57
2021-04-11,50
2021-04-18,60
2021-04-25,55
2021-05-02,59
2021-05-09,63
2021-05-16,75
2021-05-23,82
2021-05-30,73
2021-06-06,70
2021-06-13,65
2021-06-20,65
2021-06-27,79
2021-07-04,72
2021-07-11,65
2021-07-18,67
2021-07-25,59
2021-08-01,58
2021-08-08,57
2021-08-15,53
2021-08-22,56
2021-08-29,54
2021-09-05,53
2021-09-12,57
2021-09-19,53
2021-09-26,54
2021-10-03,55
2021-10-10,42
2021-10-17,46
2021-10-24,48
2021-10-31,45
2021-11-07,53
2021-11-14,56
2021-11-21,54
2021-11-28,50
2021-12-05,51
2021-12-12,59
2021-12-19,50
2021-12-26,48
2022-01-02,83
2022-01-09,71
2022-01-16,74
2022-01-23,73
2022-01-30,83
2022-02-06,82
2022-02-13,84
2022-02-20,90
2022-02-27,74
2022-03-06,70
2022-03-13,62
2022-03-20,69
2022-03-27,69
2022-04-03,66
2022-04-10,63
2022-04-17,72
2022-04-24,67
2022-05-01,66
2022-05-08,74
2022-05-15,65
2022-05-22,73
2022-05-29,74
2022-06-05,76
2022-06-12,67
2022-06-19,72
2022-06-26,75
2022-07-03,69
2022-07-10,69
2022-07-17,72
2022-07-24,75
2022-07-31,71
2022-08-07,74
2022-08-14,64
2022-08-21,72
2022-08-28,67
2022-09-04,66
2022-09-11,70
2022-09-18,76
2022-09-25,75
2022-10-02,65
2022-10-09,65
2022-10-16,66
2022-10-23,59
2022-10-30,69
2022-11-06,55
2022-11-13,72
2022-11-20,65
2022-11-27,68
2022-12-04,62
2022-12-11,63
2022-12-18,69
2022-12-25,65
2023-01-01,70
2023-01-08,69
2023-01-15,72
2023-01-22,73
2023-01-29,83
2023-02-05,71
2023-02-12,68
2023-02-19,72
2023-02-26,73
2023-03-05,72
2023-03-12,76
2023-03-19,70
2023-03-26,100
2023-04-02,96
2023-04-09,82
2023-04-16,82
2023-04-23,80
2023-04-30,68
2023-05-07,56
2023-05-14,68
2023-05-21,62
2023-05-28,73
2023-06-04,71
2023-06-11,69
2023-06-18,68
2023-06-25,75
2023-07-02,67
2023-07-09,72
2023-07-16,72
2023-07-23,74
2023-07-30,71
2023-08-06,78
2023-08-13,84
2023-08-20,72
2023-08-27,68
2023-09-03,67
2023-09-10,66
2023-09-17,70
2023-09-24,65
2023-10-01,65
2023-10-08,61
2023-10-15,66
2023-10-22,54
2023-10-29,57
2023-11-05,58
2023-11-12,56
2023-11-19,59
2023-11-26,64
2023-12-03,62
2023-12-10,65
2023-12-17,62
2023-12-24,61
2023-12-31,62
2024-01-07,68
2024-01-14,67
2024-01-21,60
2024-01-28,74
2024-02-04,81
2024-02-11,72
2024-02-18,79
2024-02-25,86
2024-03-03,91
2024-03-10,83
2024-03-17,82
2024-03-24,81
2024-03-31,65
2024-04-07,65
2024-04-14,75
2024-04-21,72
2024-04-28,69
2024-05-05,71
2024-05-12,65
2024-05-19,66
2024-05-26,63
2024-06-02,66
2024-06-09,69
2024-06-16,75
2024-06-23,73
2024-06-30,71
2024-07-07,74
2024-07-14,70
2024-07-21,83
2024-07-28,68
2024-08-04,73
2024-08-11,69
2024-08-18,70
2024-08-25,72
2024-09-01,76
2024-09-08,70
2024-09-15,75
2024-09-22,75
2024-09-29,61
2024-10-06,62
2024-10-13,70
2024-10-20,79
2024-10-27,60
2024-11-03,73
2024-11-10,68
2024-11-17,81
2024-11-24,85
2024-12-01,77
2024-12-08,76
2024-12-15,76
2024-12-22,71
2024-12-29,62
2025-01-05,83
2025-01-12,80
2025-01-19,75
2025-01-26,81
2025-02-02,85
2025-02-09,83
2025-02-16,79
2025-02-23,70
2025-03-02,74
2025-03-09,69
2025-03-16,72
2025-03-23,75
2025-03-30,77
2025-04-06,68
2025-04-13,63
2025-04-20,60
2025-04-27,68
2025-05-04,64
2025-05-11,67
2025-05-18,69
2025-05-25,58
2025-06-01,74
2025-06-08,94
2025-06-15,79
2025-06-22,71
2025-06-29,77
2025-07-06,66
2025-07-13,72
2025-07-20,73
2025-07-27,79
2025-08-03,95
2025-08-10,78
2025-08-17,71
2025-08-24,66
2025-08-31,65
